Episode,Character 1,Character 2,Interaction,Saga,Arc,Filler
4,shanks,beckman,Communication,East Blue Saga,Orange Town,False
4,shanks,yasopp,Communication,East Blue Saga,Orange Town,False
4,shanks,limejuice,Communication,East Blue Saga,Orange Town,False
4,shanks,building snake,Communication,East Blue Saga,Orange Town,False
4,shanks,makino,Communication,East Blue Saga,Orange Town,False
4,shanks,bonk punch,Communication,East Blue Saga,Orange Town,False
4,shanks,woop slap,Communication,East Blue Saga,Orange Town,False
4,shanks,sea king,Confrontation,East Blue Saga,Orange Town,False
5,luffy,nami,Confrontation,East Blue Saga,Orange Town,False
5,luffy,zoro,Cooperation,East Blue Saga,Orange Town,False
5,luffy,buggy,Confrontation,East Blue Saga,Orange Town,False
5,buggy,luffy,Confrontation,East Blue Saga,Orange Town,False
5,nami,luffy,Indirect,East Blue Saga,Orange Town,False
5,buggy,nami,Communication,East Blue Saga,Orange Town,False
5,buggy,luffy,Physical,East Blue Saga,Orange Town,False
5,buggy,nami,Communication,East Blue Saga,Orange Town,False
5,nami,buggy,Communication,East Blue Saga,Orange Town,False
5,nami,buggy pirates,Physical,East Blue Saga,Orange Town,False
5,buggy,nami,Communication,East Blue Saga,Orange Town,False
5,buggy pirates,nami,Confrontation,East Blue Saga,Orange Town,False
5,zoro,nami,Cooperation,East Blue Saga,Orange Town,False
5,zoro,buggy,Confrontation,East Blue Saga,Orange Town,False
5,buggy,zoro,Physical,East Blue Saga,Orange Town,False
5,zoro,buggy pirates,Confrontation,East Blue Saga,Orange Town,False
5,nami,zoro,Cooperation,East Blue Saga,Orange Town,False
6,luffy,mohji,Confrontation,East Blue Saga,Orange Town,False
6,luffy,richie,Confrontation,East Blue Saga,Orange Town,False
6,luffy,boodle,Cooperation,East Blue Saga,Orange Town,False
6,luffy,chouchou,Emotional,East Blue Saga,Orange Town,False
6,zoro,luffy,Cooperation,East Blue Saga,Orange Town,False
6,zoro,boodle,Cooperation,East Blue Saga,Orange Town,False
6,luffy,chouchou,Communication,East Blue Saga,Orange Town,False
6,nami,luffy,Cooperation,East Blue Saga,Orange Town,False
6,nami,chouchou,Indirect,East Blue Saga,Orange Town,False
6,mohji,richie,Cooperation,East Blue Saga,Orange Town,False
6,mohji,luffy,Physical,East Blue Saga,Orange Town,False
6,richie,chouchou,Confrontation,East Blue Saga,Orange Town,False
6,luffy,chouchou,Cooperation,East Blue Saga,Orange Town,False
6,mohji,buggy,Communication,East Blue Saga,Orange Town,False
6,buggy,zoro,Indirect,East Blue Saga,Orange Town,False
6,boodle,buggy,Confrontation,East Blue Saga,Orange Town,False
6,nami,luffy,Cooperation,East Blue Saga,Orange Town,False
6,nami,zoro,Cooperation,East Blue Saga,Orange Town,False
6,nami,boodle,Cooperation,East Blue Saga,Orange Town,False
7,zoro,cabaji,Confrontation,East Blue Saga,Orange Town,False
7,zoro,cabaji,Physical,East Blue Saga,Orange Town,False
7,luffy,buggy,Confrontation,East Blue Saga,Orange Town,False
7,luffy,buggy,Physical,East Blue Saga,Orange Town,False
7,luffy,boodle,Physical,East Blue Saga,Orange Town,False
7,luffy,buggy pirates,Physical,East Blue Saga,Orange Town,False
7,buggy,buggy pirates,Indirect,East Blue Saga,Orange Town,False
7,cabaji,richie,Indirect,East Blue Saga,Orange Town,False
7,nami,patrolling guard,Physical,East Blue Saga,Orange Town,False
7,nami,patrolling guard,Other,East Blue Saga,Orange Town,False
7,luffy,buggy,Emotional,East Blue Saga,Orange Town,False
7,buggy,shanks,Emotional,East Blue Saga,Orange Town,False
8,buggy,shanks,Communication,East Blue Saga,Orange Town,False
8,buggy,shanks,Confrontation,East Blue Saga,Orange Town,False
8,buggy,shanks,Emotional,East Blue Saga,Orange Town,False
8,buggy,nami,Confrontation,East Blue Saga,Orange Town,False
8,buggy,luffy,Confrontation,East Blue Saga,Orange Town,False
8,buggy,nami,Physical,East Blue Saga,Orange Town,False
8,luffy,nami,Cooperation,East Blue Saga,Orange Town,False
8,luffy,nami,Emotional,East Blue Saga,Orange Town,False
8,luffy,buggy,Physical,East Blue Saga,Orange Town,False
8,nami,luffy,Cooperation,East Blue Saga,Orange Town,False
8,nami,luffy,Emotional,East Blue Saga,Orange Town,False
8,luffy,citizens of orange town,Confrontation,East Blue Saga,Orange Town,False
8,chouchou,citizens of orange town,Communication,East Blue Saga,Orange Town,False
8,chouchou,luffy,Cooperation,East Blue Saga,Orange Town,False
8,boodle,luffy,Communication,East Blue Saga,Orange Town,False
8,boodle,nami,Communication,East Blue Saga,Orange Town,False
8,boodle,zoro,Communication,East Blue Saga,Orange Town,False
8,luffy,nami,Emotional,East Blue Saga,Orange Town,False
9,luffy,nami,Cooperation,East Blue Saga,Syrup Village,False
9,luffy,zoro,Cooperation,East Blue Saga,Syrup Village,False
9,nami,zoro,Cooperation,East Blue Saga,Syrup Village,False
9,luffy,usopp,Communication,East Blue Saga,Syrup Village,False
9,usopp,citizens of syrup village,Confrontation,East Blue Saga,Syrup Village,False
9,usopp,luffy,Confrontation,East Blue Saga,Syrup Village,False
9,luffy,yasopp,Perception,East Blue Saga,Syrup Village,False
9,luffy,shanks,Indirect,East Blue Saga,Syrup Village,False
9,usopp,kaya,Emotional,East Blue Saga,Syrup Village,False
9,usopp,klahadore,Confrontation,East Blue Saga,Syrup Village,False
9,luffy,klahadore,Confrontation,East Blue Saga,Syrup Village,False
9,zoro,klahadore,Confrontation,East Blue Saga,Syrup Village,False
9,nami,klahadore,Confrontation,East Blue Saga,Syrup Village,False
9,usopp,kaya,Communication,East Blue Saga,Syrup Village,False
9,luffy,usopp,Communication,East Blue Saga,Syrup Village,False
9,usopp,klahadore,Confrontation,East Blue Saga,Syrup Village,False
10,klahadore,usopp,Confrontation,East Blue Saga,Syrup Village,False
10,klahadore,straw hat pirates,Confrontation,East Blue Saga,Syrup Village,False
10,klahadore,usopp,Communication,East Blue Saga,Syrup Village,False
10,usopp,klahadore,Physical,East Blue Saga,Syrup Village,False
10,klahadore,straw hat pirates,Confrontation,East Blue Saga,Syrup Village,False
10,klahadore,kaya,Emotional,East Blue Saga,Syrup Village,False
10,klahadore,kaya,Communication,East Blue Saga,Syrup Village,False
10,zoro,nami,Cooperation,East Blue Saga,Syrup Village,False
10,children,jango,Perception,East Blue Saga,Syrup Village,False
10,jango,children,Communication,East Blue Saga,Syrup Village,False
10,jango,children,Other,East Blue Saga,Syrup Village,False
10,usopp,luffy,Communication,East Blue Saga,Syrup Village,False
10,usopp,luffy,Emotional,East Blue Saga,Syrup Village,False
10,klahadore,jango,Communication,East Blue Saga,Syrup Village,False
10,usopp,klahadore,Perception,East Blue Saga,Syrup Village,False
10,usopp,jango,Perception,East Blue Saga,Syrup Village,False
10,klahadore,jango,Cooperation,East Blue Saga,Syrup Village,False
10,klahadore,luffy,Perception,East Blue Saga,Syrup Village,False
10,jango,luffy,Perception,East Blue Saga,Syrup Village,False
10,jango,luffy,Other,East Blue Saga,Syrup Village,False
10,klahadore,usopp,Perception,East Blue Saga,Syrup Village,False
10,jango,usopp,Perception,East Blue Saga,Syrup Village,False
11,zoro,nami,Cooperation,East Blue Saga,Syrup Village,False
11,zoro,luffy,Cooperation,East Blue Saga,Syrup Village,False
11,nami,luffy,Cooperation,East Blue Saga,Syrup Village,False
11,luffy,zoro,Communication,East Blue Saga,Syrup Village,False
11,luffy,nami,Communication,East Blue Saga,Syrup Village,False
11,usopp,citizens of syrup village,Communication,East Blue Saga,Syrup Village,False
11,usopp,citizens of syrup village,Confrontation,East Blue Saga,Syrup Village,False
11,usopp,kaya,Communication,East Blue Saga,Syrup Village,False
11,usopp,kaya,Confrontation,East Blue Saga,Syrup Village,False
11,usopp,mansion guards,Physical,East Blue Saga,Syrup Village,False
11,kaya,usopp,Physical,East Blue Saga,Syrup Village,False
11,merry,usopp,Physical,East Blue Saga,Syrup Village,False
11,kuro,black cat pirates,Communication,East Blue Saga,Syrup Village,False
11,usopp,children,Communication,East Blue Saga,Syrup Village,False
11,usopp,children,Emotional,East Blue Saga,Syrup Village,False
11,usopp,straw hat pirates,Cooperation,East Blue Saga,Syrup Village,False
11,nami,usopp,Physical,East Blue Saga,Syrup Village,False
12,kuro,kaya,Perception,East Blue Saga,Syrup Village,False
12,kuro,merry,Confrontation,East Blue Saga,Syrup Village,False
12,kuro,merry,Physical,East Blue Saga,Syrup Village,False
12,kuro,kaya,Perception,East Blue Saga,Syrup Village,False
12,jango,black cat pirates,Cooperation,East Blue Saga,Syrup Village,False
12,usopp,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
12,usopp,nami,Communication,East Blue Saga,Syrup Village,False
12,nami,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
12,luffy,zoro,Cooperation,East Blue Saga,Syrup Village,False
12,luffy,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
12,zoro,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
12,kuro,black cat pirates,Communication,East Blue Saga,Syrup Village,False
13,kaya,merry,Perception,East Blue Saga,Syrup Village,False
13,kaya,klahadore,Perception,East Blue Saga,Syrup Village,False
13,jango,black cat pirates,Communication,East Blue Saga,Syrup Village,False
13,jango,black cat pirates,Indirect,East Blue Saga,Syrup Village,False
13,jango,luffy,Indirect,East Blue Saga,Syrup Village,False
13,luffy,black cat pirates,Physical,East Blue Saga,Syrup Village,False
13,jango,luffy,Indirect,East Blue Saga,Syrup Village,False
13,jango,nyaban brothers,Communication,East Blue Saga,Syrup Village,False
13,nyaban brothers,zoro,Confrontation,East Blue Saga,Syrup Village,False
13,sham,zoro,Physical,East Blue Saga,Syrup Village,False
13,usopp,zoro,Indirect,East Blue Saga,Syrup Village,False
13,nyaban brothers,zoro,Physical,East Blue Saga,Syrup Village,False
13,nami,zoro,Cooperation,East Blue Saga,Syrup Village,False
13,jango,nami,Physical,East Blue Saga,Syrup Village,False
13,black cat pirates,kuro,Emotional,East Blue Saga,Syrup Village,False
14,kuro,zoro,Perception,East Blue Saga,Syrup Village,False
14,kuro,jango,Communication,East Blue Saga,Syrup Village,False
14,jango,usopp,Communication,East Blue Saga,Syrup Village,False
14,kuro,sham,Communication,East Blue Saga,Syrup Village,False
14,kuro,buchi,Communication,East Blue Saga,Syrup Village,False
14,sham,buchi,Communication,East Blue Saga,Syrup Village,False
14,sham,kuro,Confrontation,East Blue Saga,Syrup Village,False
14,buchi,kuro,Confrontation,East Blue Saga,Syrup Village,False
14,kuro,sham,Physical,East Blue Saga,Syrup Village,False
14,kuro,buchi,Physical,East Blue Saga,Syrup Village,False
14,nami,zoro,Cooperation,East Blue Saga,Syrup Village,False
14,zoro,nami,Emotional,East Blue Saga,Syrup Village,False
14,zoro,sham,Confrontation,East Blue Saga,Syrup Village,False
14,zoro,buchi,Confrontation,East Blue Saga,Syrup Village,False
14,usopp,black cat pirates,Perception,East Blue Saga,Syrup Village,False
14,jango,zoro,Perception,East Blue Saga,Syrup Village,False
14,kuro,zoro,Communication,East Blue Saga,Syrup Village,False
14,buchi,jango,Communication,East Blue Saga,Syrup Village,False
14,jango,buchi,Cooperation,East Blue Saga,Syrup Village,False
14,zoro,buchi,Confrontation,East Blue Saga,Syrup Village,False
14,nami,luffy,Physical,East Blue Saga,Syrup Village,False
14,luffy,nami,Communication,East Blue Saga,Syrup Village,False
14,luffy,jango,Physical,East Blue Saga,Syrup Village,False
14,luffy,nami,Emotional,East Blue Saga,Syrup Village,False
14,black cat pirates,luffy,Perception,East Blue Saga,Syrup Village,False
14,black cat pirates,zoro,Perception,East Blue Saga,Syrup Village,False
14,buchi,zoro,Confrontation,East Blue Saga,Syrup Village,False
14,jango,luffy,Confrontation,East Blue Saga,Syrup Village,False
14,kuro,luffy,Perception,East Blue Saga,Syrup Village,False
14,kaya,kuro,Communication,East Blue Saga,Syrup Village,False
14,usopp,kaya,Cooperation,East Blue Saga,Syrup Village,False
14,kaya,usopp,Emotional,East Blue Saga,Syrup Village,False
14,kaya,kuro,Confrontation,East Blue Saga,Syrup Village,False
14,kuro,kaya,Communication,East Blue Saga,Syrup Village,False
14,kuro,kaya,Physical,East Blue Saga,Syrup Village,False
14,usopp,kuro,Confrontation,East Blue Saga,Syrup Village,False
14,kuro,usopp,Physical,East Blue Saga,Syrup Village,False
14,luffy,kuro,Physical,East Blue Saga,Syrup Village,False
14,luffy,kuro,Communication,East Blue Saga,Syrup Village,False
15,kuro,luffy,Confrontation,East Blue Saga,Syrup Village,False
15,jango,kaya,Physical,East Blue Saga,Syrup Village,False
15,zoro,buchi,Confrontation,East Blue Saga,Syrup Village,False
15,usopp,kuro,Confrontation,East Blue Saga,Syrup Village,False
15,usopp pirates,kuro,Physical,East Blue Saga,Syrup Village,False
15,kuro,usopp,Physical,East Blue Saga,Syrup Village,False
15,usopp,usopp pirates,Communication,East Blue Saga,Syrup Village,False
15,usopp,kaya,Cooperation,East Blue Saga,Syrup Village,False
15,zoro,luffy,Cooperation,East Blue Saga,Syrup Village,False
15,kuro,usopp,Confrontation,East Blue Saga,Syrup Village,False
15,black cat pirates,usopp,Confrontation,East Blue Saga,Syrup Village,False
15,luffy,black cat pirates,Physical,East Blue Saga,Syrup Village,False
15,luffy,zoro,Communication,East Blue Saga,Syrup Village,False
15,zoro,kaya,Cooperation,East Blue Saga,Syrup Village,False
15,kuro,luffy,Confrontation,East Blue Saga,Syrup Village,False
15,kuro,black cat pirates,Communication,East Blue Saga,Syrup Village,False
15,kuro,marine,Confrontation,East Blue Saga,Syrup Village,False
15,jango,marine,Indirect,East Blue Saga,Syrup Village,False
15,jango,black cat pirates,Indirect,East Blue Saga,Syrup Village,False
15,marine,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
15,luffy,kuro,Confrontation,East Blue Saga,Syrup Village,False
16,jango,kaya,Confrontation,East Blue Saga,Syrup Village,False
16,jango,kaya,Confrontation,East Blue Saga,Syrup Village,False
16,zoro,usopp,Cooperation,East Blue Saga,Syrup Village,False
16,zoro,kaya,Cooperation,East Blue Saga,Syrup Village,False
16,usopp,kaya,Cooperation,East Blue Saga,Syrup Village,False
16,kuro,luffy,Confrontation,East Blue Saga,Syrup Village,False
16,kuro,black cat pirates,Confrontation,East Blue Saga,Syrup Village,False
16,kuro,luffy,Physical,East Blue Saga,Syrup Village,False
16,kuro,black cat pirates,Physical,East Blue Saga,Syrup Village,False
16,luffy,kuro,Confrontation,East Blue Saga,Syrup Village,False
16,luffy,kuro,Physical,East Blue Saga,Syrup Village,False
16,children,kaya,Cooperation,East Blue Saga,Syrup Village,False
16,children,jango,Confrontation,East Blue Saga,Syrup Village,False
16,jango,children,Confrontation,East Blue Saga,Syrup Village,False
16,kaya,children,Emotional,East Blue Saga,Syrup Village,False
17,luffy,kuro,Confrontation,East Blue Saga,Syrup Village,False
17,luffy,kuro,Physical,East Blue Saga,Syrup Village,False
17,luffy,black cat pirates,Communication,East Blue Saga,Syrup Village,False
17,usopp,jango,Confrontation,East Blue Saga,Syrup Village,False
17,zoro,jango,Confrontation,East Blue Saga,Syrup Village,False
17,zoro,usopp,Cooperation,East Blue Saga,Syrup Village,False
17,usopp,children,Communication,East Blue Saga,Syrup Village,False
17,usopp,children,Emotional,East Blue Saga,Syrup Village,False
17,kaya,straw hat pirates,Communication,East Blue Saga,Syrup Village,False
17,kaya,straw hat pirates,Cooperation,East Blue Saga,Syrup Village,False
17,kaya,merry,Communication,East Blue Saga,Syrup Village,False
17,merry,kaya,Communication,East Blue Saga,Syrup Village,False
17,merry,usopp,Communication,East Blue Saga,Syrup Village,False
17,yasopp,shanks,Cooperation,East Blue Saga,Syrup Village,False
17,yasopp,usopp,Emotional,East Blue Saga,Syrup Village,False
17,usopp,usopp's mother,Emotional,East Blue Saga,Syrup Village,False
17,children,citizens of syrup village,Communication,East Blue Saga,Syrup Village,False
18,luffy,usopp,Cooperation,East Blue Saga,Syrup Village,False
18,luffy,nami,Communication,East Blue Saga,Syrup Village,False
18,luffy,gaimon,Emotional,East Blue Saga,Syrup Village,False
18,luffy,gaimon,Communication,East Blue Saga,Syrup Village,False
18,luffy,gaimon,Cooperation,East Blue Saga,Syrup Village,False
18,luffy,gaimon,Confrontation,East Blue Saga,Syrup Village,False
18,usopp,nami,Communication,East Blue Saga,Syrup Village,False
18,usopp,zoro,Communication,East Blue Saga,Syrup Village,False
18,nami,zoro,Communication,East Blue Saga,Syrup Village,False
18,gaimon,usagihebi,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,cocox,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,lionbuta,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,kabagorilla,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,kirinkodanuki,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,kamonohitsuji,Emotional,East Blue Saga,Syrup Village,False
18,gaimon,saikangaroo,Emotional,East Blue Saga,Syrup Village,False
18,luffy,usagihebi,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,cocox,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,lionbuta,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,kabagorilla,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,kirinkodanuki,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,kamonohitsuji,Confrontation,East Blue Saga,Syrup Village,False
18,luffy,saikangaroo,Confrontation,East Blue Saga,Syrup Village,False
19,zoro,kuina,Emotional,East Blue Saga,Baratie,False
19,zoro,kuina,Confrontation,East Blue Saga,Baratie,False
19,zoro,kuina,Cooperation,East Blue Saga,Baratie,False
19,zoro,koushirou,Confrontation,East Blue Saga,Baratie,False
19,zoro,koushirou,Cooperation,East Blue Saga,Baratie,False
19,luffy,usopp,Cooperation,East Blue Saga,Baratie,False
19,luffy,johnny,Confrontation,East Blue Saga,Baratie,False
19,johnny,zoro,Emotional,East Blue Saga,Baratie,False
20,johnny,yosaku,Cooperation,East Blue Saga,Baratie,False
20,johnny,zoro,Communication,East Blue Saga,Baratie,False
20,johnny,luffy,Perception,East Blue Saga,Baratie,False
20,luffy,johnny,Indirect,East Blue Saga,Baratie,False
20,nami,yosaku,Communication,East Blue Saga,Baratie,False
20,nami,yosaku,Cooperation,East Blue Saga,Baratie,False
20,luffy,fullbody,Confrontation,East Blue Saga,Baratie,False
20,luffy,zeff,Confrontation,East Blue Saga,Baratie,False
20,luffy,zeff,Cooperation,East Blue Saga,Baratie,False
20,sanji,fullbody,Confrontation,East Blue Saga,Baratie,False
20,sanji,fullbody,Physical,East Blue Saga,Baratie,False
20,sanji,zeff,Indirect,East Blue Saga,Baratie,False
20,nami,johnny,Emotional,East Blue Saga,Baratie,False
21,sanji,gin,Cooperation,East Blue Saga,Baratie,False
21,sanji,gin,Emotional,East Blue Saga,Baratie,False
21,luffy,sanji,Communication,East Blue Saga,Baratie,False
21,patty,sanji,Confrontation,East Blue Saga,Baratie,False
21,zeff,luffy,Physical,East Blue Saga,Baratie,False
21,zeff,sanji,Confrontation,East Blue Saga,Baratie,False
21,zeff,patty,Communication,East Blue Saga,Baratie,False
21,fullbody,zeff,Communication,East Blue Saga,Baratie,False
21,fullbody,patty,Communication,East Blue Saga,Baratie,False
21,fullbody,sanji,Confrontation,East Blue Saga,Baratie,False
21,patty,gin,Physical,East Blue Saga,Baratie,False
21,patty,gin,Confrontation,East Blue Saga,Baratie,False
21,luffy,sanji,Communication,East Blue Saga,Baratie,False
21,gin,luffy,Communication,East Blue Saga,Baratie,False
21,sanji,nami,Emotional,East Blue Saga,Baratie,False
21,zeff,sanji,Emotional,East Blue Saga,Baratie,False
21,gin,krieg,Communication,East Blue Saga,Baratie,False
21,gin,krieg,Cooperation,East Blue Saga,Baratie,False
22,gin,krieg,Cooperation,East Blue Saga,Baratie,False
22,sanji,krieg,Cooperation,East Blue Saga,Baratie,False
22,krieg,sanji,Indirect,East Blue Saga,Baratie,False
22,sanji,nami,Emotional,East Blue Saga,Baratie,False
22,sanji,zeff,Confrontation,East Blue Saga,Baratie,False
22,krieg pirates,baratie customers,Perception,East Blue Saga,Baratie,False
22,krieg,gin,Communication,East Blue Saga,Baratie,False
22,sanji,patty,Confrontation,East Blue Saga,Baratie,False
22,patty,krieg,Confrontation,East Blue Saga,Baratie,False
22,krieg,baratie staff,Confrontation,East Blue Saga,Baratie,False
22,zeff,krieg,Other,East Blue Saga,Baratie,False
23,krieg,mihawk,Confrontation,East Blue Saga,Baratie,False
23,nami,straw hat pirates,Indirect,East Blue Saga,Baratie,False
23,zeff,krieg,Confrontation,East Blue Saga,Baratie,False
23,krieg,zeff,Emotional,East Blue Saga,Baratie,False
23,krieg,zeff,Confrontation,East Blue Saga,Baratie,False
23,krieg,krieg pirates,Communication,East Blue Saga,Baratie,False
23,gin,krieg,Communication,East Blue Saga,Baratie,False
23,gin,baratie staff,Communication,East Blue Saga,Baratie,False
23,krieg,krieg pirates,Communication,East Blue Saga,Baratie,False
23,krieg,krieg pirates,Physical,East Blue Saga,Baratie,False
23,mihawk,krieg pirates,Confrontation,East Blue Saga,Baratie,False
23,johnny,yosaku,Communication,East Blue Saga,Baratie,False
23,johnny,straw hat pirates,Communication,East Blue Saga,Baratie,False
23,yosaku,straw hat pirates,Communication,East Blue Saga,Baratie,False
24,zoro,mihawk,Confrontation,East Blue Saga,Baratie,False
24,zoro,mihawk,Physical,East Blue Saga,Baratie,False
24,johnny,yosaku,Communication,East Blue Saga,Baratie,False
24,nami,johnny,Physical,East Blue Saga,Baratie,False
24,nami,yosaku,Physical,East Blue Saga,Baratie,False
24,johnny,yosaku,Perception,East Blue Saga,Baratie,False
24,johnny,yosaku,Emotional,East Blue Saga,Baratie,False
24,johnny,yosaku,Indirect,East Blue Saga,Baratie,False
24,zoro,mihawk,Emotional,East Blue Saga,Baratie,False
24,mihawk,krieg,Indirect,East Blue Saga,Baratie,False
24,luffy,usopp,Communication,East Blue Saga,Baratie,False
24,luffy,zoro,Communication,East Blue Saga,Baratie,False
24,luffy,krieg,Confrontation,East Blue Saga,Baratie,False
24,luffy,zeff,Communication,East Blue Saga,Baratie,False
25,krieg,baratie staff,Confrontation,East Blue Saga,Baratie,False
25,sanji,pearl,Confrontation,East Blue Saga,Baratie,False
25,zeff,gin,Confrontation,East Blue Saga,Baratie,False
25,krieg,krieg pirates,Communication,East Blue Saga,Baratie,False
25,sanji,baratie staff,Communication,East Blue Saga,Baratie,False
25,patty,carne,Cooperation,East Blue Saga,Baratie,False
25,patty,krieg,Confrontation,East Blue Saga,Baratie,False
25,carne,krieg,Confrontation,East Blue Saga,Baratie,False
25,krieg,baratie staff,Confrontation,East Blue Saga,Baratie,False
25,patty,carne,Emotional,East Blue Saga,Baratie,False
25,patty,krieg pirates,Confrontation,East Blue Saga,Baratie,False
25,carne,krieg pirates,Confrontation,East Blue Saga,Baratie,False
25,pearl,krieg,Communication,East Blue Saga,Baratie,False
25,krieg,luffy,Indirect,East Blue Saga,Baratie,False
25,luffy,pearl,Physical,East Blue Saga,Baratie,False
25,pearl,pearl,Physical,East Blue Saga,Baratie,False
25,sanji,pearl,Physical,East Blue Saga,Baratie,False
25,gin,zeff,Physical,East Blue Saga,Baratie,False
26,zeff,sanji,Physical,East Blue Saga,Baratie,False
26,zeff,sanji,Emotional,East Blue Saga,Baratie,False
26,zeff,sanji,Cooperation,East Blue Saga,Baratie,False
26,luffy,baratie,Physical,East Blue Saga,Baratie,False
26,gin,zeff,Confrontation,East Blue Saga,Baratie,False
26,sanji,pearl,Confrontation,East Blue Saga,Baratie,False
